Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?
2019,100.3,JaKarr Sampson,IND,6,14,44,8,4.7,2.4,0.3,0.4,0.5,0.4,62.8,0.1,0.001,12.4,6.7,0,0
2019,100.3,Johnathan Williams,WAS,11,7,42,3,4.7,5.7,0.9,0.1,0.7,0.4,63.0,0.0,0.0,9.3,11.4,0,0
2019,100.3,Trey Lyles,SAS,9,42,42,19,4.7,5.8,1.2,0.3,0.4,0.6,50.3,0.7,0.001,12.8,8.8,0,0
2019,100.3,Matisse Thybulle,PHI,5,37,45,26,4.7,1.6,1.3,1.5,0.9,0.9,52.3,0.9,0.002,11.5,4.6,0,0
2019,100.3,Alen Smailagic,GSW,15,9,45,1,4.7,2.4,0.9,0.1,0.3,0.6,62.9,0.2,0.001,17.3,10.8,0,0
2019,100.3,Naz Mitrou-Long,IND,6,3,44,2,4.7,2.0,2.3,0.3,0.3,0.7,43.8,0.7,0.004,17.3,12.5,0,0
2019,100.3,Nicolas Claxton,BKN,8,12,42,4,4.7,2.7,1.2,0.1,0.7,0.6,57.6,0.1,0.001,14.3,8.5,0,0
2019,100.3,Troy Daniels,LAL,1,33,43,25,4.6,1.1,0.4,0.2,0.1,0.2,54.9,1.1,0.001,15.0,6.5,0,0
2019,100.3,Willy Hernangomez,CHA,11,16,45,1,4.6,2.8,0.3,0.1,0.3,0.7,61.7,0.3,0.001,25.4,14.8,0,0
2019,100.3,Mario Hezonja,POR,10,33,45,13,4.6,3.9,0.8,0.6,0.1,0.8,51.0,0.4,0.001,13.2,6.3,0,0
2019,100.3,Dzanan Musa,BKN,8,30,42,14,4.6,2.1,1.0,0.4,0.0,0.9,45.6,0.5,0.001,18.6,6.0,0,0
2019,100.3,Marko Guduric,MEM,8,28,43,11,4.5,1.9,1.4,0.3,0.2,1.0,47.2,0.6,0.001,16.8,5.5,0,0
2019,100.3,Theo Pinson,BKN,8,25,42,11,4.5,1.8,1.9,0.6,0.1,1.3,37.2,0.6,0.002,23.0,4.3,0,0
2019,100.3,Dante Exum,CLE,13,22,44,6,4.5,1.5,1.0,0.3,0.2,1.0,58.2,0.5,0.001,15.9,7.6,0,0
2019,100.3,Cheick Diallo,PHX,11,27,43,11,4.5,2.5,0.5,0.2,0.1,0.5,71.0,0.0,0.001,17.1,13.6,0,0
2019,100.3,Elie Okobo,PHX,11,34,43,15,4.5,1.4,2.1,0.4,0.1,0.4,52.3,0.5,0.001,16.6,8.8,0,0
